"100100"	"JAP"
"100101"	"JAP"
"100102"	"JAP"
"100200"	"JAP"
"100201"	"JAP"
"100202"	"JAP"
"100203"	"JAP"
"100300"	"JAP"
"100301"	"JAP"
"100302"	"JAP"
"100303"	"JAP"
"100400"	"CN"
"100401"	"CN"
"100500"	"JAP"
"100501"	"JAP"
"100502"	"JAP"
"100600"	"JAP"
"100601"	"JAP"
"100700"	"JAP"
"100701"	"JAP"
"100702"	"JAP"
"100703"	"JAP"
"100800"	"CN"
"100801"	"CN"
"100802"	"CN"
"100803"	"CN"
"100804"	"CN"
"100900"	"CN"
"100901"	"CN"
"101000"	"CN"
"101001"	"CN"
"101002"	"CN"
"101003"	"CN"
"101100"	"CN"
"101101"	"CN"
"101200"	"CN"
"101201"	"CN"
"101202"	"CN"
"101203"	"CN"
"101300"	"JAP"
"101301"	"JAP"
"101500"	"JAP"
"101501"	"JAP"
"104002"	"CN"
